T_C,signal
150,0.00041
151,0.00000
152,0.00194
153,0.00000
154,0.00000
155,0.00234
156,0.00000
157,0.00000
158,0.00000
159,0.00183
160,0.00044
161,0.00000
162,0.00174
163,0.00014
164,0.00031
165,0.00000
166,0.00000
167,0.00275
168,0.00000
169,0.00000
170,0.00057
171,0.00063
172,0.00017
173,0.00000
174,0.00247
175,0.00017
176,0.00000
177,0.00016
178,0.00000
179,0.00205
180,0.00000
181,0.00000
182,0.00199
183,0.00000
184,0.00000
185,0.00000
186,0.00222
187,0.00000
188,0.00000
189,0.00170
190,0.00000
191,0.00060
192,0.00000
193,0.00010
194,0.00253
195,0.00000
196,0.00008
197,0.00022
198,0.00101
199,0.00000
200,0.00000
201,0.00267
202,0.00000
203,0.00000
204,0.00000
205,0.00026
206,0.00220
207,0.00000
208,0.00063
209,0.00201
210,0.00000
211,0.00067
212,0.00000
213,0.00386
214,0.00126
215,0.00019
216,0.00438
217,0.00353
218,0.00531
219,0.00351
220,0.00740
221,0.01058
222,0.00785
223,0.01229
224,0.01416
225,0.01806
226,0.01881
227,0.02007
228,0.02805
229,0.02814
230,0.03142
231,0.03501
232,0.03958
233,0.04465
234,0.04343
235,0.05060
236,0.05461
237,0.05650
238,0.06008
239,0.06236
240,0.07021
241,0.07029
242,0.07365
243,0.08112
244,0.08506
245,0.09206
246,0.09593
247,0.10784
248,0.11884
249,0.12691
250,0.14338
251,0.15916
252,0.18011
253,0.19895
254,0.22236
255,0.25396
256,0.28048
257,0.31332
258,0.34765
259,0.38655
260,0.42649
261,0.46250
262,0.50827
263,0.55065
264,0.59269
265,0.63495
266,0.67637
267,0.72195
268,0.75766
269,0.79590
270,0.83419
271,0.86708
272,0.89880
273,0.92320
274,0.95192
275,0.97306
276,0.98717
277,1.00264
278,1.01117
279,1.01862
280,1.01576
281,1.01193
282,1.00779
283,0.99222
284,0.97650
285,0.95502
286,0.93366
287,0.90665
288,0.87234
289,0.84382
290,0.80835
291,0.77170
292,0.73260
293,0.69354
294,0.65823
295,0.61400
296,0.57516
297,0.53737
298,0.49866
299,0.46145
300,0.42149
301,0.39113
302,0.35709
303,0.32324
304,0.29560
305,0.26805
306,0.24621
307,0.22008
308,0.20149
309,0.18811
310,0.17125
311,0.16085
312,0.15068
313,0.14797
314,0.14384
315,0.13905
316,0.14420
317,0.14638
318,0.15209
319,0.15726
320,0.16678
321,0.18137
322,0.18940
323,0.20533
324,0.22261
325,0.24177
326,0.26235
327,0.28193
328,0.31207
329,0.33808
330,0.36612
331,0.39904
332,0.43272
333,0.47118
334,0.50376
335,0.54372
336,0.58539
337,0.62242
338,0.66254
339,0.69945
340,0.74103
341,0.77562
342,0.80663
343,0.84179
344,0.86898
345,0.89488
346,0.91336
347,0.93174
348,0.94765
349,0.95131
350,0.95665
351,0.95573
352,0.95143
353,0.94052
354,0.92319
355,0.90983
356,0.88561
357,0.85908
358,0.83078
359,0.79981
360,0.76886
361,0.72856
362,0.69408
363,0.65796
364,0.61762
365,0.57929
366,0.53867
367,0.50474
368,0.46479
369,0.42589
370,0.39356
371,0.35817
372,0.32660
373,0.29209
374,0.26472
375,0.23946
376,0.20927
377,0.18709
378,0.16447
379,0.14607
380,0.12587
381,0.10662
382,0.09642
383,0.08044
384,0.06814
385,0.05716
386,0.04887
387,0.04305
388,0.03109
389,0.02805
390,0.02394
391,0.01852
392,0.01486
393,0.01011
394,0.01232
395,0.00728
396,0.00428
397,0.00561
398,0.00371
399,0.00417
400,0.00000
401,0.00211
402,0.00336
403,0.00000
404,0.00081
405,0.00000
406,0.00233
407,0.00000
408,0.00000
409,0.00251
410,0.00000
411,0.00000
412,0.00000
413,0.00056
414,0.00218
415,0.00000
416,0.00054
417,0.00077
418,0.00033
419,0.00000
420,0.00000
421,0.00290
422,0.00000
423,0.00000
424,0.00061
425,0.00022
426,0.00137
427,0.00000
428,0.00090
429,0.00170
430,0.00000
431,0.00006
432,0.00000
433,0.00227
434,0.00000
435,0.00000
436,0.00223
437,0.00000
438,0.00016
439,0.00000
440,0.00093
441,0.00186
442,0.00000
443,0.00074
444,0.00043
445,0.00069
446,0.00000
447,0.00000
448,0.00297
449,0.00000
450,0.00000
